linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,13.8984,300,100,0,0,0
2,20,170,30,0,0,0
3,113.826,300,50,0,0,0
4,120,170,30,0,0,0
5,51.1954,300,50,0,0,0
6,40,170,30,0,0,0
7,70.604,300,50,0,0,0
8,50,170,30,0,0,0
9,20,300,80,0,0,0
